countyFIPS-1,County Name,State-1,population,Area,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day28
1001,Autauga County,AL,55869,604.49,0,0,0,0,0,0,1,4,6,6,6,6,7,7,23
1003,Baldwin County,AL,223234,2027.08,1,1,2,2,3,3,4,4,5,5,10,15,18,19,87
1005,Barbour County,AL,24686,904.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1007,Bibb County,AL,22394,625.5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,17
1009,Blount County,AL,57826,650.65,0,0,0,0,0,0,0,1,2,5,5,5,5,5,16
1011,Bullock County,AL,10101,626.11,0,0,0,0,0,0,0,0,2,2,2,2,2,2,8
1013,Butler County,AL,19448,777.99,0,0,0,0,0,0,0,1,1,1,1,1,1,1,8
1015,Calhoun County,AL,113605,612.35,1,1,1,1,2,2,2,2,2,3,3,3,9,9,62
1017,Chambers County,AL,33254,603.15,0,1,1,1,2,2,5,10,13,15,17,27,36,36,216
1019,Cherokee County,AL,26196,600,0,0,0,0,0,0,0,1,1,1,1,2,2,2,9
1021,Chilton County,AL,44428,700.8,0,0,0,0,0,0,0,1,4,7,7,8,10,11,33
1023,Choctaw County,AL,12589,920.91,0,0,0,0,0,0,0,0,1,1,1,1,2,3,12
1025,Clarke County,AL,23622,1252.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1027,Clay County,AL,13235,606.05,0,0,0,0,0,0,0,1,1,1,2,2,2,2,14
1029,Cleburne County,AL,14910,561.06,0,0,0,0,0,0,0,1,1,3,4,5,5,5,12
1031,Coffee County,AL,52342,680.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1033,Colbert County,AL,55241,623.66,0,0,0,0,0,0,0,1,1,1,1,2,4,4,11
1035,Conecuh County,AL,12067,852.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1037,Coosa County,AL,10663,666.41,0,0,0,0,0,0,0,0,2,2,2,3,4,4,18
1039,Covington County,AL,37049,1043.95,0,0,0,0,0,0,0,0,0,2,2,2,2,2,16
1041,Crenshaw County,AL,13772,610.91,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3
1043,Cullman County,AL,83768,754.86,0,0,1,2,2,2,3,4,6,7,7,7,8,8,40
1045,Dale County,AL,49172,562.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1047,Dallas County,AL,37196,993.46,0,0,0,0,0,0,0,2,2,2,2,2,2,2,17
1049,DeKalb County,AL,71513,778.71,0,0,0,0,0,0,0,0,1,4,4,4,4,4,29
1051,Elmore County,AL,81209,657.26,4,5,6,6,6,6,8,9,10,12,12,12,12,12,43
